"Sample Name","Sample Acc","Lane Name","Lane Acc","Supplier Name","Public Name",Strain,"Study ID","Study Accession"
ILBEcoli5442571,ERS206736,9475_4#58,ERR279354,E_1114,E_1114,E_1114,2433,ERP002086
ILBEcoli5442572,ERS206737,9475_4#59,ERR279355,E_1115,E_1115,E_1115,2433,ERP002086
ILBEcoli5442573,ERS206738,9475_4#60,ERR279356,E_1116,E_1116,E_1116,2433,ERP002086
ILBEcoli5442574,ERS206739,9475_4#61,ERR279357,E_1117,E_1117,E_1117,2433,ERP002086
ILBEcoli5442575,ERS206740,9475_4#62,ERR279358,E_1118,E_1118,E_1118,2433,ERP002086
ILBEcoli5442576,ERS206741,9475_4#63,ERR279359,E_1119,E_1119,E_1119,2433,ERP002086
ILBEcoli5442577,ERS206742,9475_4#64,ERR279360,E_1120,E_1120,E_1120,2433,ERP002086
ILBEcoli5442578,ERS206743,9475_4#65,ERR279361,E_1121,E_1121,E_1121,2433,ERP002086
ILBEcoli5442579,ERS206744,9475_4#66,ERR279362,E_1122,E_1122,E_1122,2433,ERP002086
ILBEcoli5442580,ERS206745,9475_4#67,ERR279363,E_1328,E_1328,E_1328,2433,ERP002086
ILBEcoli5442581,ERS206746,9475_4#68,ERR279364,E_1329,E_1329,E_1329,2433,ERP002086
ILBEcoli5442582,ERS206747,9475_4#69,ERR279365,E_1441,E_1441,E_1441,2433,ERP002086
ILBEcoli5442583,ERS206748,9475_4#70,ERR279366,E_1442,E_1442,E_1442,2433,ERP002086
ILBEcoli5442587,ERS206752,9475_4#74,ERR279370,E_1484,E_1484,E_1484,2433,ERP002086
ILBEcoli5442588,ERS206753,9475_4#75,ERR279371,E_1512,E_1512,E_1512,2433,ERP002086
ILBEcoli5442589,ERS206754,9475_4#76,ERR279372,E_1516,E_1516,E_1516,2433,ERP002086
ILBEcoli5442590,ERS206755,9475_4#77,ERR279373,E_1523,E_1523,E_1523,2433,ERP002086
